iter	Logloss
0	0.6726973126
1	0.6510435637
2	0.6325945601
3	0.6180153302
4	0.6031287586
5	0.5895423611
6	0.5733101795
7	0.5604070291
8	0.5511120365
9	0.540809064
10	0.5326078
11	0.5250397937
12	0.5175910864
13	0.5106112901
14	0.5040320406
15	0.4992708961
16	0.4942101047
17	0.487569645
18	0.4830826011
19	0.4778798292
20	0.4734720313
21	0.4701973036
22	0.4668009555
23	0.4637450361
24	0.4605429796
25	0.4574346661
26	0.4553993118
27	0.4529627326
28	0.4507044055
29	0.4483472484
30	0.4464105664
31	0.4443167001
32	0.4410068939
33	0.4391793702
34	0.4375530734
35	0.4354285479
36	0.4338894079
37	0.4322139695
38	0.4310608852
39	0.4298967431
40	0.4286952824
41	0.4274501852
42	0.4252396542
43	0.4240603506
44	0.4223964477
45	0.4213231956
46	0.420396617
47	0.4195616501
48	0.4184085167
49	0.4173662674
50	0.4164567956
51	0.4155659694
52	0.4146307796
53	0.4137146501
54	0.4130808145
55	0.4122260229
56	0.4112975405
57	0.4105180455
58	0.4097263735
59	0.408858019
60	0.4083610552
61	0.4077478504
62	0.4070154522
63	0.4062650322
64	0.4055543412
65	0.404281094
66	0.4036789915
67	0.4031894407
68	0.4025176439
69	0.4021307177
70	0.4014898911
71	0.4010185022
72	0.4006298319
73	0.3994572964
74	0.3988452988
75	0.3982025559
76	0.3977057731
77	0.3971582692
78	0.3966906833
79	0.3960876825
80	0.3956592332
81	0.3950258503
82	0.3946247148
83	0.3940841742
84	0.3936275193
85	0.392917102
86	0.3924508689
87	0.3919902396
88	0.3917010944
89	0.3913593547
90	0.3909104076
91	0.3904193145
92	0.3897245238
93	0.3892551552
94	0.38878296
95	0.3881932798
96	0.3879474707
97	0.3875044437
98	0.3870714934
99	0.3867283021
100	0.3864728452
101	0.3861191824
102	0.385725696
103	0.3851679889
104	0.3847270164
105	0.3842091436
106	0.3838155056
107	0.3835882503
108	0.3832228243
109	0.3831148765
110	0.3825930274
111	0.3823055363
112	0.3819542094
113	0.3817312404
114	0.3814169411
115	0.3811285395
116	0.3803795843
117	0.3800313124
118	0.3797091583
119	0.3793947595
120	0.3790854446
121	0.3788566036
122	0.3784742425
123	0.3780731994
124	0.3775672783
125	0.3772395696
126	0.3768790774
127	0.3765367216
128	0.3760792413
129	0.375630269
130	0.3753492734
131	0.3749078768
132	0.3746301969
133	0.3742997693
134	0.3741008053
135	0.3739174463
136	0.3735973519
137	0.3734461443
138	0.3732500528
139	0.372852191
140	0.3726591979
141	0.3723987163
142	0.3720200765
143	0.3717665598
144	0.3715183589
145	0.3712616467
146	0.3709572546
147	0.3707114295
148	0.3704595413
149	0.3702830764
150	0.3700341132
151	0.3697345034
152	0.3696192056
153	0.3694367812
154	0.3692301266
155	0.3690076405
156	0.3688706418
157	0.3685007157
158	0.3683020957
159	0.3680963034
160	0.3678086731
161	0.3675636003
162	0.3672954101
163	0.3670849835
164	0.3666280736
165	0.3664733
166	0.3662894165
167	0.3658964647
168	0.3656648242
169	0.3654623844
170	0.3653222493
171	0.3650688119
172	0.3648000677
173	0.3644632016
174	0.3641387718
175	0.3639169977
176	0.3636566184
177	0.3633816945
178	0.3630942313
179	0.3628289157
180	0.3626510757
181	0.3624064303
182	0.3622145651
183	0.3617674069
184	0.3613724405
185	0.361233273
186	0.3609427892
187	0.3607894736
188	0.3605888412
189	0.3602217024
190	0.3598740573
191	0.3597661845
192	0.3595493527
193	0.3593538141
194	0.3591970693
195	0.3589578253
196	0.3586852614
197	0.3583664229
198	0.3580059971
199	0.3578315355
200	0.3577084761
201	0.3575098886
