iter	Passed	Remaining
0	151	196919
1	153	99860
2	156	67491
3	158	51338
4	160	41658
5	163	35178
6	165	30635
7	168	27203
8	171	24585
9	174	22480
10	177	20764
11	180	19356
12	183	18131
13	186	17088
14	188	16152
15	190	15315
16	193	14584
17	195	13933
18	198	13353
19	200	12834
20	202	12360
21	205	11929
22	207	11536
23	210	11190
24	213	10870
25	215	10569
26	218	10287
27	220	10035
28	223	9796
29	226	9571
30	228	9362
31	231	9169
32	234	8985
33	236	8810
34	239	8654
35	242	8510
36	245	8376
37	248	8246
38	251	8116
39	253	7994
40	256	7881
41	260	7787
42	263	7694
43	266	7596
44	269	7504
45	271	7413
46	274	7317
47	277	7231
48	280	7149
49	282	7067
50	285	6986
51	288	6912
52	290	6838
53	293	6765
54	295	6698
55	298	6634
56	301	6574
57	304	6514
58	306	6455
59	309	6396
60	312	6344
61	315	6293
62	318	6244
63	320	6193
64	323	6149
65	326	6110
66	329	6067
67	332	6023
68	335	5982
69	338	5941
70	340	5899
71	343	5863
72	346	5824
73	349	5784
74	351	5746
75	354	5708
76	357	5674
77	360	5646
78	363	5618
79	367	5598
80	370	5569
81	372	5538
82	375	5507
83	378	5477
84	381	5447
85	383	5417
86	386	5388
87	389	5363
88	392	5338
89	395	5314
90	398	5288
91	400	5261
92	403	5237
93	406	5214
94	409	5189
95	412	5168
96	415	5146
97	417	5126
98	420	5106
99	423	5084
100	426	5063
101	429	5041
102	431	5019
103	434	4999
104	437	4980
105	440	4960
106	443	4942
107	446	4924
108	448	4904
109	451	4884
110	454	4867
111	457	4852
112	460	4832
113	462	4814
114	465	4796
115	468	4778
116	470	4759
117	473	4742
118	476	4727
119	479	4711
120	481	4694
121	484	4679
122	487	4669
123	490	4652
124	493	4636
125	495	4618
126	498	4603
127	501	4587
128	503	4572
129	506	4557
130	509	4544
131	511	4530
132	514	4514
133	517	4500
134	519	4485
135	522	4471
136	525	4461
137	528	4452
138	532	4443
139	535	4433
140	537	4420
141	540	4406
142	543	4393
143	545	4381
144	548	4368
145	551	4356
146	553	4345
147	556	4331
148	558	4318
149	561	4304
150	563	4290
151	566	4277
152	569	4266
153	572	4258
154	575	4248
155	577	4238
156	580	4225
157	582	4213
158	585	4204
159	588	4195
160	591	4186
161	594	4177
162	597	4165
163	599	4155
164	602	4143
165	604	4131
166	607	4120
167	609	4109
168	612	4100
169	615	4089
170	618	4081
171	621	4075
172	624	4069
173	627	4062
174	630	4055
175	633	4047
176	636	4040
177	639	4030
178	642	4020
179	644	4011
180	647	4001
181	649	3991
182	652	3981
183	655	3973
184	657	3963
185	660	3954
186	663	3947
187	665	3938
188	668	3928
189	670	3920
190	673	3910
191	675	3901
192	679	3895
193	682	3888
194	684	3881
195	687	3872
196	690	3864
197	693	3858
198	696	3855
199	699	3846
200	701	3838
201	704	3830
202	707	3821
203	710	3814
204	712	3805
205	715	3797
206	717	3788
207	720	3781
208	722	3772
209	725	3765
210	728	3758
211	730	3750
212	733	3741
213	735	3734
214	738	3726
215	741	3720
216	744	3715
217	747	3709
218	750	3702
219	752	3696
220	755	3689
221	758	3682
222	760	3674
223	763	3667
224	766	3662
225	769	3656
226	772	3651
227	775	3645
228	778	3640
