paperless_billing_Yes,senior_citizen,online_security_Yes,total_charges,payment_method_Electronic check,partner_Yes,tech_support_Yes,monthly_charges,type_One year,type_Two year,churn
False,0,True,1296.8,True,True,True,54.3,False,False,0
False,0,True,1734.5,False,False,True,58.0,True,False,0
True,0,False,1446.8,False,True,False,23.75,True,False,0
True,0,False,3420.7537692887045,True,True,False,101.07491406110323,False,False,1
False,0,False,49.95,True,False,False,49.95,False,False,0
True,0,True,235.65,False,False,False,50.55,False,False,0
False,0,False,7176.55,True,False,True,108.45,True,False,1
False,0,True,3827.9,True,True,True,71.85,False,False,0
True,0,False,69.98662521289889,False,False,False,69.98662521289889,False,False,1
False,0,False,45.3,True,False,False,45.3,False,False,1
False,0,False,2614.1,False,True,False,54.9,True,False,0
False,0,False,20.9,False,False,False,20.9,False,False,1
False,0,False,700.45,False,False,False,20.75,True,False,0
True,1,False,73.83312550804665,True,False,False,73.83312550804665,False,False,1
True,0,True,7556.9,False,True,True,103.95,False,True,0
False,0,True,2021.2,False,False,False,61.2,True,False,0
False,0,True,1374.9,True,True,False,90.7,False,False,0
True,0,True,551.8270223370262,True,False,True,37.09619582356535,False,False,1
True,1,True,6548.65,False,False,False,103.5,False,False,0
False,0,False,1790.15,False,True,False,25.15,False,True,0
True,0,False,3264.5,False,False,True,84.25,False,False,1
False,0,False,32.39136856728038,False,False,False,19.933432292235345,False,False,1
True,0,False,1682.05,False,True,True,60.0,True,False,0
True,0,True,4264.25,False,True,True,75.75,True,False,0
True,0,False,498.7231732818206,True,False,False,85.27063809163197,False,False,1
False,0,False,800.3,False,True,False,24.15,True,False,0
False,0,False,20.35,False,True,False,20.35,False,True,0
False,1,False,1275.6,False,True,False,25.1,False,True,0
True,1,True,7171.7,True,False,True,105.05,False,True,0
True,0,False,451.2372615139074,True,False,False,93.58405999476912,False,False,1
True,0,False,145.6220120857377,True,False,False,79.98600604286885,False,False,1
True,0,False,293.39260947405546,True,False,True,31.790995285953194,False,False,1
True,0,False,144.31262151331515,True,False,False,79.92030765738212,False,False,1
False,0,True,4620.4,False,True,True,81.25,False,True,0
True,0,False,20.15,False,False,False,20.15,False,False,1
True,0,False,415.05,True,True,False,51.05,False,False,1
True,0,False,6794.75,False,True,True,105.4,False,True,0
False,1,False,2191.15,False,True,False,88.4,False,False,0
False,0,False,44.4,False,False,False,19.3,False,False,0
True,0,False,324.6,True,False,False,69.75,False,False,1
True,0,True,6300.15,True,False,False,106.45,False,False,0
True,0,False,1497.9,False,True,False,24.5,True,False,0
True,0,False,506.9,True,True,False,69.0,False,False,1
True,0,False,3842.6,False,True,False,69.05,False,True,0
True,0,False,2709.3444659935567,True,True,False,85.92309787935771,False,False,1
True,0,False,4994.159811478672,False,True,True,95.69987577184509,True,True,1
True,0,True,5760.65,False,False,True,108.0,False,True,0
True,0,False,701.3,True,False,False,94.1,False,False,0
False,0,False,1517.5,False,False,True,54.65,False,False,0
True,0,False,59.06978239928599,True,False,False,24.121446404746045,False,False,1
True,0,False,2440.362710903456,True,False,False,101.11767403098969,False,False,1
True,0,False,471.0116549273027,True,False,False,41.72143820355429,True,False,1
True,1,False,2997.45,True,True,False,50.25,False,False,0
True,1,False,4287.2,False,False,False,89.85,True,False,0
False,0,True,165.2,True,False,False,55.35,False,False,1
False,0,True,2731.0,True,False,False,67.45,False,False,0
True,0,False,173.9527460372831,True,False,False,44.854260614951954,False,False,1
True,1,False,3969.35,False,False,False,85.2,False,False,1
True,0,False,3623.9263349248868,True,False,False,101.68754969139404,True,False,1
True,0,False,96.39881950337353,True,True,False,24.306131874106086,False,False,1
True,0,False,74.49172660075303,False,False,False,74.49172660075303,False,False,1
False,1,False,2754.0,False,False,True,59.6,False,True,0
True,0,False,415.2104492852042,True,False,True,64.66077781411816,False,False,1
True,0,False,346.4,True,False,False,70.05,False,False,1
False,0,True,4758.8,False,True,True,66.85,False,True,0
False,0,False,29.95,False,False,False,29.95,False,False,1
True,0,False,209.50870296910884,True,True,False,72.0943977434344,False,False,1
False,0,True,5963.95,False,True,True,91.55,False,True,0
False,1,True,4154.55,True,True,True,76.25,True,False,0
True,0,False,1312.15,True,False,False,81.0,False,False,1
True,0,False,356.0147046469117,False,False,False,75.82501810202706,False,False,1
False,0,False,943.0,False,False,False,20.45,False,True,0
True,0,False,5685.8,True,True,False,83.0,True,False,1
True,0,False,704.6588749106718,True,True,False,100.72739817682141,False,False,1
True,0,True,2348.45,True,False,True,54.75,True,False,0
False,0,False,84.4,True,False,False,45.55,False,False,0
True,0,True,1588.7108637380782,True,True,False,86.96931907326491,False,False,1
True,0,False,365.6049923810754,True,False,False,98.23784190435809,False,False,1
True,0,False,79.76184791277639,True,False,False,79.76184791277639,False,False,1
True,0,False,151.65,True,False,False,70.7,False,False,1
True,0,False,79.36894374939808,True,False,False,79.36894374939808,False,False,1
True,1,False,918.7952740881823,True,False,False,100.24370275926083,False,False,1
False,0,False,4543.95,False,True,True,76.95,False,True,0
True,0,False,1718.35,False,True,False,24.95,False,True,0
True,0,False,1327.4,False,True,False,20.85,True,False,0
True,0,False,2939.8,True,True,False,93.8,True,False,0
True,0,True,3789.2,False,True,True,56.6,False,True,0
True,0,False,414.771797583107,True,False,False,78.53161989194236,False,False,1
True,0,False,219.68212681476197,True,False,True,47.34524879015868,False,False,1
True,0,False,266.9,False,False,False,70.05,False,False,1
False,0,False,109.2,False,False,False,20.0,False,False,0
True,0,True,6260.276046922219,True,True,False,103.9483394041013,False,False,1
False,0,False,457.3,False,False,False,19.8,True,False,0
True,1,True,1381.8,False,True,True,63.55,False,False,0
False,0,True,3326.2,False,True,True,79.9,False,False,1
True,0,False,20.1,False,False,False,20.1,False,False,1
False,0,False,711.9,False,True,False,21.25,False,True,0
True,0,False,130.1,False,False,False,49.9,False,False,1
True,0,True,2203.7,False,False,True,108.2,False,False,0
True,0,False,2243.9,False,False,True,75.35,True,False,0
True,0,False,152.5496100521539,True,False,False,79.59748287535534,False,False,1
True,1,False,1937.4,False,True,False,25.7,False,True,0
True,0,True,72.4,True,False,False,42.6,False,False,1
True,0,True,792.0562344693526,True,False,False,74.47824899932078,False,False,1
True,0,False,91.64441977175927,True,False,True,91.64441977175927,False,False,1
False,0,True,5730.7,False,True,False,79.05,False,True,0
True,0,False,73.34271210705766,True,False,False,73.34271210705766,False,False,1
True,0,False,199.7430149071545,True,False,False,52.72319132921241,False,False,1
True,0,False,50.45,False,True,False,50.45,False,False,1
True,0,True,4822.85,False,False,True,105.2,True,False,1
False,0,False,61.9870462232823,False,False,True,61.9870462232823,False,False,1
True,0,True,5459.2,False,False,True,84.85,False,True,0
True,0,False,5873.75,True,True,True,103.2,False,True,0
True,0,False,117.05,False,False,True,54.35,False,False,0
False,0,False,2054.4,False,True,True,75.55,False,True,0
True,0,False,816.0007593092084,True,False,False,97.14792137100963,False,False,1
True,0,False,597.2179669025139,False,False,True,40.95584870126268,False,False,1
True,0,False,864.2,False,True,False,19.25,False,True,0
False,0,False,1343.4,True,False,False,20.55,True,False,0
True,0,False,5305.05,True,True,False,92.85,False,False,0
True,1,False,2745.2,True,True,False,95.9,False,False,1
True,0,True,4299.2,False,False,True,71.1,True,False,0
True,1,False,70.19211240816176,True,True,False,70.19211240816176,False,False,1
False,0,False,833.55,False,True,False,20.0,False,True,0
True,0,True,830.579900228721,True,False,True,97.68569879934189,False,False,1
True,0,False,4308.25,False,False,False,79.85,False,False,0
True,0,False,3973.2,False,False,False,88.15,False,False,0
True,0,False,679.6033058505619,True,False,False,47.305369697748,False,False,1
True,0,True,154.79218975055267,True,False,True,54.185923032161405,False,False,1
True,1,False,2619.25,False,False,False,81.1,False,False,0
True,0,False,322.5,False,False,False,44.65,False,False,0
