payment_method_Mailed check,paperless_billing_Yes,senior_citizen,online_security_Yes,payment_method_Electronic check,payment_method_Credit card (automatic),tech_support_Yes,gender_Male,online_backup_Yes,type_Two year,dependents_Yes,streaming_movies_Yes,total_charges,partner_Yes,monthly_charges,type_One year,churn
False,False,0,True,True,False,True,True,False,False,True,False,1296.8,True,54.3,False,0
False,False,0,True,False,True,True,False,False,False,False,False,1734.5,False,58.0,True,0
False,True,0,False,False,True,False,True,False,False,False,False,1446.8,True,23.75,True,0
False,True,0,False,True,False,False,True,True,False,False,True,3420.7537692887045,True,101.07491406110323,False,1
False,False,0,False,True,False,False,False,True,False,False,False,49.95,False,49.95,False,0
False,True,0,True,False,False,False,False,False,False,False,False,235.65,False,50.55,False,0
False,False,0,False,True,False,True,True,True,False,False,True,7176.55,False,108.45,True,1
False,False,0,True,True,False,True,True,False,False,True,True,3827.9,True,71.85,False,0
True,True,0,False,False,False,False,False,False,False,False,False,69.98662521289889,False,69.98662521289889,False,1
False,False,0,False,True,False,False,True,False,False,False,False,45.3,False,45.3,False,1
False,False,0,False,False,False,False,True,False,False,True,False,2614.1,True,54.9,True,0
True,False,0,False,False,False,False,False,False,False,False,False,20.9,False,20.9,False,1
True,False,0,False,False,False,False,False,False,False,False,False,700.45,False,20.75,True,0
False,True,1,False,True,False,False,True,False,False,False,False,73.83312550804665,False,73.83312550804665,False,1
False,True,0,True,False,False,True,False,True,True,False,False,7556.9,True,103.95,False,0
True,False,0,True,False,False,False,True,True,False,False,False,2021.2,False,61.2,True,0
False,False,0,True,True,False,False,False,True,False,False,False,1374.9,True,90.7,False,0
True,True,0,True,True,False,True,False,False,False,True,True,551.8270223370262,False,37.09619582356535,False,1
False,True,1,True,False,False,False,True,True,False,False,True,6548.65,False,103.5,False,0
False,False,0,False,False,True,False,True,False,True,True,False,1790.15,True,25.15,False,0
False,True,0,False,False,True,True,False,True,False,False,False,3264.5,False,84.25,False,1
True,False,0,False,False,False,False,True,False,False,False,False,32.39136856728038,False,19.933432292235345,False,1
False,True,0,False,False,True,True,True,True,False,True,True,1682.05,True,60.0,True,0
False,True,0,True,False,False,True,False,True,False,True,True,4264.25,True,75.75,True,0
